iter	RMSE
0	8.490161308
1	8.373806216
2	8.238263683
3	8.169642811
4	8.060850251
5	7.983631348
6	7.90596026
7	7.84104998
8	7.800442432
9	7.739154128
10	7.659037593
11	7.616938274
12	7.579837032
13	7.517777219
14	7.472993593
15	7.460014938
16	7.439039108
17	7.408351879
18	7.376363098
19	7.341687642
20	7.315079848
21	7.265641769
22	7.237556607
23	7.216932833
24	7.199431055
25	7.140077907
26	7.136040156
27	7.100280434
28	7.093441644
29	7.06745704
30	7.058277419
31	7.020819748
32	6.979784953
33	6.969701843
34	6.955113677
35	6.936496441
36	6.914271202
37	6.894095561
38	6.889508873
39	6.878562348
40	6.877649424
41	6.868589073
42	6.860057595
43	6.84587272
44	6.844351981
45	6.829992647
46	6.807966727
47	6.753632391
48	6.737092303
49	6.725357951
50	6.716157638
51	6.705247775
52	6.674716369
53	6.674473045
54	6.668211191
55	6.668210643
56	6.64975285
57	6.643012495
58	6.628949237
59	6.618335048
60	6.606559507
61	6.580633084
62	6.575532704
63	6.563112937
64	6.55308881
65	6.54671997
66	6.535521809
67	6.511893223
68	6.491592668
69	6.49159265
70	6.491296353
71	6.475482935
72	6.471701064
73	6.463257275
74	6.454720942
75	6.44463254
76	6.432834162
77	6.426164054
78	6.425435023
79	6.40969427
80	6.409694237
81	6.40165081
82	6.385068653
83	6.371703627
84	6.358914748
85	6.352662962
86	6.347804514
87	6.340796969
88	6.339095617
89	6.333251992
90	6.332902776
91	6.323785642
92	6.311846341
93	6.305869337
94	6.30586888
95	6.305416066
96	6.282069342
97	6.281660413
98	6.269315886
99	6.268990016
