iter	Passed	Remaining
0	60	5945
1	62	3085
2	63	2063
3	64	1537
4	66	1256
5	66	1045
6	67	894
7	68	788
8	69	704
9	70	637
10	72	583
11	73	538
12	74	496
13	74	459
14	75	427
15	75	398
16	76	373
17	77	351
18	77	331
19	78	313
20	79	297
21	79	282
22	80	268
23	80	256
24	81	245
25	82	234
26	82	224
27	83	214
28	84	205
29	84	197
30	85	190
31	86	184
32	87	177
33	87	170
34	88	164
35	89	158
36	89	152
37	90	148
38	91	143
39	92	138
40	92	132
41	92	128
42	93	124
43	94	119
44	94	115
45	95	111
46	95	107
47	96	104
48	96	100
49	97	97
50	98	94
51	98	91
52	99	88
53	99	85
54	100	82
55	100	79
56	101	76
57	101	73
58	102	71
59	103	68
60	104	66
61	105	64
62	105	62
63	106	60
64	108	58
65	109	56
66	110	54
67	110	52
68	111	50
69	111	47
70	112	45
71	113	43
72	113	42
73	114	40
74	114	38
75	115	36
76	116	34
77	117	33
78	117	31
79	118	29
80	118	27
81	119	26
82	119	24
83	120	22
84	121	21
85	121	19
86	122	18
87	123	16
88	123	15
89	124	13
90	124	12
91	125	10
92	125	9
93	126	8
94	126	6
95	127	5
96	127	3
97	128	2
98	130	1
99	131	0
